Id,Requirement,Package,Project,Status,Satisfied by,Refined by,Derived,Traced,Function (FSA),Parent function,Functional block,Allocated block,Product block,Tests touching chain,Verified by
44,System Design Constraint Reqt,ABL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,derives CI design constraint reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
45,CI Functional Requirement,FBL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Element Functional Requirement,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
47,System Element Functional Requirement,FBL Requirements,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Functional Requirement; derives CI Functional Requirement,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
46,System Functional Requirement,FBL Requirements,(U) CapyBARA,partial,GAP: no Satisfy,FBL System Activity,derives System Element Functional Requirement,GAP: no Trace,"FBL System Activity [Refine ->, Refine ->]",GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
41,CI design constraint reqt,Requirements - Textual,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,from System Design Constraint Reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
38,Capability-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System,GAP: no Refine,derives Performance-Level Requirement,-> DAU Website; -> MoE Standards of Task in Mission Thread,DAU Website [Trace ->]; System Activity [Satisfy <-]; Focus System [Satisfy <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,Event Evaluation AS
39,Performance-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System,ABL System Activity,from Capability-Level Requirement; derives Specification-Level Requirement,-> DAU Website; -> MoP Standards of Mission System in Mission Engineering Thread,DAU Website [Trace ->]; ABL System Activity [Refine ->]; System Activity [Satisfy <-]; Focus System [Satisfy <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,Test Procedure (TestDesignInput -> Activity 'ABL System Activity'),Event Evaluation AS
40,Specification-Level Requirement,Requirements - Textual,(U) CapyBARA,partial,System Activity; Focus System; Focus Subsystem,GAP: no Refine,from Performance-Level Requirement,<- Response Threshold Partition,System Activity [Satisfy <-]; Focus System [Satisfy <-]; Focus Subsystem [Satisfy <-]; Response Threshold Partition [Trace <-],GAP: no activity calls the function,Focus System [Allocate ->]; Focus System; Focus Subsystem,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,Event Evaluation AS
42,System Design Constraint Reqt,Requirements - Textual,(U) CapyBARA,none,GAP: no Satisfy,GAP: no Refine,derives CI design constraint reqt,GAP: no Trace,GAP: no Satisfy/Refine/Trace/Allocate to a function or block,GAP: no activity calls the function,GAP: function not allocated to a block,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
1,Top Level Cyber User Need,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-01 Control Access; <- CSA-03 Secure Transmissions and Communications; <- CSA-04 Protect System's Information from Exploitation; <- CSA-05 Partition and Ensure Critical Functions at Mission Completion Performance Levels; <- CSA-06 Minimize and Harden Attack Surfaces; <- CSA-07 Baseline & Monitor Systems and Detect Anomalies; <- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,MQ-99 Functional Enterprise [Allocate ->],GAP: no activity calls the function,MQ-99 Functional Enterprise,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
1.2,"Damage Tolerant (Prevent, Mitigate, ZT)",Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-05 Partition and Ensure Critical Functions at Mission Completion Performance Levels,MQ-99 Functional Enterprise [Allocate ->],GAP: no activity calls the function,MQ-99 Functional Enterprise,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.2,Communications Loss Response,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-05 Partition and Ensure Critical Functions at Mission Completion Performance Levels,Executive Control Subsystem [Allocate ->],GAP: no activity calls the function,Executive Control Subsystem,Allocated Communications Controller [Realization <- (via port 'External Comms Port') owner of 'ETH1']; Allocated Nav Controller [Realization <- (via port 'Garmin Port') owner of 'ETH4']; Allocated EO/IR Sensor [Realization <- (via port 'EO/IR Port') owner of 'ETH7'],Elsight Halo Communications System [Realization <-]; Curtiss-Wright Parvus DuraCOR Pi [Realization <-]; Skylock EO/IR Camera System [Realization <-]; SmartEO/IR Pod SX-550 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.3,Communications Redundancy,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- HT-49 Resilient to Data Flows; <- CSA-05 Partition and Ensure Critical Functions at Mission Completion Performance Levels,Communications System [Allocate ->],GAP: no activity calls the function,Communications System,Allocated Comms Power Distribution Module [Realization <- (via port 'PowerIn') owner of 'PWR_In'],Power Distribution Unit [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1,Flight Critical Subsystem Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,MQ-99 Berserker Air Vehicle [Allocate ->],GAP: no activity calls the function,MQ-99 Berserker Air Vehicle,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.7,Communications System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Communications System [Allocate ->],GAP: no activity calls the function,Communications System,Allocated Comms Power Distribution Module [Realization <- (via port 'PowerIn') owner of 'PWR_In'],Power Distribution Unit [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.7.1,Communications System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Communications System [Allocate ->],GAP: no activity calls the function,Communications System,Allocated Comms Power Distribution Module [Realization <- (via port 'PowerIn') owner of 'PWR_In'],Power Distribution Unit [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.6,Electrical System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Electrical System [Allocate ->],GAP: no activity calls the function,Electrical System,Allocated Electrical Controller [Realization <- (via port 'MCPower') owner of 'PWROut10'],Autonomic Power Hub APH-700 [Realization <-]; PowerMaster Control Suite [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.6.1,Electrical System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Electrical System [Allocate ->],GAP: no activity calls the function,Electrical System,Allocated Electrical Controller [Realization <- (via port 'MCPower') owner of 'PWROut10'],Autonomic Power Hub APH-700 [Realization <-]; PowerMaster Control Suite [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.2,Flight Control System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Flight Controlller [Allocate ->],GAP: no activity calls the function,Flight Controlller,Allocated Flight Control Computer [Realization <-]; Allocated Flight Power Module [Realization <- (via port 'PowerIn') owner of 'PWRIn'],VECTOR-600 [Realization <-]; PowerGuard NX [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.2.1,Flight Control System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Flight Controlller [Allocate ->],GAP: no activity calls the function,Flight Controlller,Allocated Flight Control Computer [Realization <-]; Allocated Flight Power Module [Realization <- (via port 'PowerIn') owner of 'PWRIn'],VECTOR-600 [Realization <-]; PowerGuard NX [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.5,Fuel System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Fuel Management System [Allocate ->],GAP: no activity calls the function,Fuel Management System,Allocated Fuel Pump [Realization <- (via port 'Vroom Fuel') owner of 'FuelOut'],Currawong CE370 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.5.1,Fuel System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Fuel Management System [Allocate ->],GAP: no activity calls the function,Fuel Management System,Allocated Fuel Pump [Realization <- (via port 'Vroom Fuel') owner of 'FuelOut'],Currawong CE370 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.1,Mission Computer Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Executive Control Subsystem [Allocate ->],GAP: no activity calls the function,Executive Control Subsystem,Allocated Communications Controller [Realization <- (via port 'External Comms Port') owner of 'ETH1']; Allocated Nav Controller [Realization <- (via port 'Garmin Port') owner of 'ETH4']; Allocated EO/IR Sensor [Realization <- (via port 'EO/IR Port') owner of 'ETH7'],Elsight Halo Communications System [Realization <-]; Curtiss-Wright Parvus DuraCOR Pi [Realization <-]; Skylock EO/IR Camera System [Realization <-]; SmartEO/IR Pod SX-550 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.1.1,Mission Computer Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Executive Control Subsystem [Allocate ->],GAP: no activity calls the function,Executive Control Subsystem,Allocated Communications Controller [Realization <- (via port 'External Comms Port') owner of 'ETH1']; Allocated Nav Controller [Realization <- (via port 'Garmin Port') owner of 'ETH4']; Allocated EO/IR Sensor [Realization <- (via port 'EO/IR Port') owner of 'ETH7'],Elsight Halo Communications System [Realization <-]; Curtiss-Wright Parvus DuraCOR Pi [Realization <-]; Skylock EO/IR Camera System [Realization <-]; SmartEO/IR Pod SX-550 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.3,Navigation System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Navigation System [Allocate ->],GAP: no activity calls the function,Navigation System,Allocated NAv Power Module [Realization <- (via port 'PowerIn') owner of 'PWRIn'],Power Distribution Unit [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.3.1,Navigation System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Navigation System [Allocate ->],GAP: no activity calls the function,Navigation System,Allocated NAv Power Module [Realization <- (via port 'PowerIn') owner of 'PWRIn'],Power Distribution Unit [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.4,Propulsion System Backup Mode,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Propulsion/Flight System [Allocate ->],GAP: no activity calls the function,Propulsion/Flight System,Allocated Flight Control Computer [Realization <- (via port 'FlightContrl') owner of 'CAN3'],VECTOR-600 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.1.4.1,Propulsion System Backup Mode Switching,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense; <- CSA-09 Recover System Capabilities; <- CSA-10 Actively Manage System's Configurations to Achieve and Maintain an Operationally relevant Cyber Risk Posture,Propulsion/Flight System [Allocate ->],GAP: no activity calls the function,Propulsion/Flight System,Allocated Flight Control Computer [Realization <- (via port 'FlightContrl') owner of 'CAN3'],VECTOR-600 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.4,Mission Critical Subsystem Resilience,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-05 Partition and Ensure Critical Functions at Mission Completion Performance Levels,MQ-99 Berserker Air Vehicle [Allocate ->],GAP: no activity calls the function,MQ-99 Berserker Air Vehicle,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
1.2.4.1,ELINT Sensors on when Needed,Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense,Executive Control Subsystem [Allocate ->]; ELINT Sensor [Allocate ->],GAP: no activity calls the function,Executive Control Subsystem; ELINT Sensor,Allocated Communications Controller [Realization <- (via port 'External Comms Port') owner of 'ETH1']; Allocated Nav Controller [Realization <- (via port 'Garmin Port') owner of 'ETH4']; Allocated EO/IR Sensor [Realization <- (via port 'EO/IR Port') owner of 'ETH7'],Elsight Halo Communications System [Realization <-]; Curtiss-Wright Parvus DuraCOR Pi [Realization <-]; Skylock EO/IR Camera System [Realization <-]; SmartEO/IR Pod SX-550 [Realization <-],GAP: no test case / procedure touches the chain,GAP: no Verify
1.3,Defensible (Mitigate),Berserker System Cybersecurity Requirements,MQ-99 Berserker Functional System Architecture,partial,GAP: no Satisfy,GAP: no Refine,GAP: no DeriveReqt,<- CSA-08 Manage System Performance and Enable Cyberspace Defense,MQ-99 Functional Enterprise [Allocate ->],GAP: no activity calls the function,MQ-99 Functional Enterprise,GAP: no allocated-baseline block realises the functional block,GAP: no product-baseline block realises the allocated block,GAP: no test case / procedure touches the chain,GAP: no Verify
