scenario,control,leaf_count,d3fend_countermeasures,matched_entry,level,confidence,rationale,leaves
RS-2,IA-3,5,Agent Authentication,Agent Authentication,technique,medium,"technique entry 'Agent Authentication' in nist80053_d3fend.json: Identification and authentication of users, devices and non-organizational users. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,IA-8,5,Agent Authentication,Agent Authentication,technique,medium,"technique entry 'Agent Authentication' in nist80053_d3fend.json: Identification and authentication of users, devices and non-organizational users. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,AC-6,4,Access Mediation; Access Policy Administration,Access Mediation,technique,medium,technique entry 'Access Mediation' in nist80053_d3fend.json: Access enforcement and least privilege. (D3FEND countermeasure was medium-confidence),Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,CM-8,4,Asset Inventory; Container Image Analysis; Hardware Component Inventory,Asset Inventory,technique,medium,technique entry 'Asset Inventory' in nist80053_d3fend.json: System component inventory with updates. (D3FEND countermeasure was medium-confidence),Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary substitutes flight-critical hardware during distribution to alter AV navigation system; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,CM-8(1),4,Asset Inventory; Container Image Analysis; Hardware Component Inventory,Asset Inventory,technique,medium,technique entry 'Asset Inventory' in nist80053_d3fend.json: System component inventory with updates. (D3FEND countermeasure was medium-confidence),Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary substitutes flight-critical hardware during distribution to alter AV navigation system; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,CP-10,4,Restore Object; Restore Software; Restore Access,Restore Object,technique,medium,"technique entry 'Restore Object' in nist80053_d3fend.json: Backups, recovery, baseline configuration. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,SA-15,4,Application Hardening,Application Hardening,technique,medium,technique entry 'Application Hardening' in nist80053_d3fend.json: Memory protection and secure development process. (D3FEND countermeasure was medium-confidence),SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice
RS-2,SC-7(11),4,Inbound Traffic Filtering,Inbound Traffic Filtering,technique,medium,technique entry 'Inbound Traffic Filtering' in nist80053_d3fend.json: Restrict incoming communications traffic. (D3FEND countermeasure was medium-confidence),SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice
RS-2,SI-16,4,Application Hardening,Application Hardening,technique,medium,technique entry 'Application Hardening' in nist80053_d3fend.json: Memory protection and secure development process. (D3FEND countermeasure was medium-confidence),SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice
RS-2,SI-3,4,Network Traffic Signature Analysis,Network Traffic Signature Analysis,technique,medium,technique entry 'Network Traffic Signature Analysis' in nist80053_d3fend.json: Signature-based intrusion / malicious code detection. (D3FEND countermeasure was medium-confidence),Device on 1553 bus successfully sends adversary spoofed message to fly AV to adversary selected location; Other NAV sensor spoofing to fly AV to adversary selected location; MIL GPS spoofing to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during development to alter AV mission computer
RS-2,SI-4(24),4,Database Query String Analysis,Process Analysis,family,low,family entry 'Process Analysis' in nist80053_d3fend.json: System monitoring and indicators of compromise. (D3FEND countermeasure was medium-confidence),SIPR connected Traditional-IT cyber attack on ground station to fly AV to adversary selected location; SIPR connected DoS cyber attack to degrade UAS operations; SIPR connected Traditional-IT cyber attack on ground station to gain mission planning and AV location data; SIPR connected Traditional-IT cyber attack to employ ordnance on a target of their choice
RS-2,AC-2,3,Access Policy Administration; Account Locking; Restore Access,Access Policy Administration,technique,medium,technique entry 'Access Policy Administration' in nist80053_d3fend.json: Account management and least privilege. (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,AC-2(12),3,Credential Compromise Scope Analysis; User Behavior Analysis,User Behavior Analysis,technique,medium,"technique entry 'User Behavior Analysis' in nist80053_d3fend.json: Audit review, account monitoring for atypical usage, traffic pattern analysis. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,CM-2,3,Restore Object; Restore Software,Restore Object,technique,medium,"technique entry 'Restore Object' in nist80053_d3fend.json: Backups, recovery, baseline configuration. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,CM-6,3,Platform Hardening,Platform Hardening,technique,medium,"technique entry 'Platform Hardening' in nist80053_d3fend.json: Configuration settings, least functionality, software/firmware integrity. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,CM-7,3,Platform Hardening,Platform Hardening,technique,medium,"technique entry 'Platform Hardening' in nist80053_d3fend.json: Configuration settings, least functionality, software/firmware integrity. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,CP-9,3,Restore Object; Restore Software,Restore Object,technique,medium,"technique entry 'Restore Object' in nist80053_d3fend.json: Backups, recovery, baseline configuration. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,IA-11,3,Authentication Cache Invalidation; Credential Eviction,Authentication Cache Invalidation,technique,medium,technique entry 'Authentication Cache Invalidation' in nist80053_d3fend.json: Force re-authentication. (D3FEND countermeasure was medium-confidence),Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,IA-5,3,Authentication Cache Invalidation; Credential Eviction; Certificate Rotation; Credential Hardening; Restore Access,Authentication Cache Invalidation,technique,medium,technique entry 'Authentication Cache Invalidation' in nist80053_d3fend.json: Force re-authentication. (D3FEND countermeasure was medium-confidence),Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,IA-5(1),3,Certificate Rotation; Credential Hardening,Credential Hardening,technique,medium,technique entry 'Credential Hardening' in nist80053_d3fend.json: Authenticator management and password-based authentication requirements. (D3FEND countermeasure was medium-confidence),Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,RA-5,3,Asset Vulnerability Enumeration,Asset Vulnerability Enumeration,technique,medium,technique entry 'Asset Vulnerability Enumeration' in nist80053_d3fend.json: Vulnerability monitoring and scanning. (D3FEND countermeasure was medium-confidence),Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,RA-5(2),3,Asset Vulnerability Enumeration,Asset Vulnerability Enumeration,technique,medium,technique entry 'Asset Vulnerability Enumeration' in nist80053_d3fend.json: Vulnerability monitoring and scanning. (D3FEND countermeasure was medium-confidence),Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,SI-4(13),3,Credential Compromise Scope Analysis; User Behavior Analysis,User Behavior Analysis,technique,medium,"technique entry 'User Behavior Analysis' in nist80053_d3fend.json: Audit review, account monitoring for atypical usage, traffic pattern analysis. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,SI-7,3,Platform Hardening,Platform Hardening,technique,medium,"technique entry 'Platform Hardening' in nist80053_d3fend.json: Configuration settings, least functionality, software/firmware integrity. (D3FEND countermeasure was medium-confidence)",Adversary control of device on 1553 bus via supply chain to fly AV to adversary selected location; Adversary maliciously modifies flight-critical software during distribution to modify AV mission computer; Adversary supply chain attack on MX system provides logical access to maliciously alter AV mission computer
RS-2,AC-2(1),2,Credential Eviction,Credential Eviction,technique,medium,"technique entry 'Credential Eviction' in nist80053_d3fend.json: Automated account management, authenticator management, re-authentication. (D3FEND countermeasure was medium-confidence)",Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,AC-3,2,Access Mediation,Access Mediation,technique,medium,technique entry 'Access Mediation' in nist80053_d3fend.json: Access enforcement and least privilege. (D3FEND countermeasure was medium-confidence),Adversary steals key from SIPR connected ground station to fly AV to adversary selected location; Adversary breaks encryption to determine the command link key to fly UAS to adversary selected location
RS-2,AC-7,2,Account Locking,Account Locking,technique,medium,technique entry 'Account Locking' in nist80053_d3fend.json: Lock accounts after unsuccessful attempts / on compromise. (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,IA-5(12),2,Biometric Authentication,Biometric Authentication,technique,medium,technique entry 'Biometric Authentication' in nist80053_d3fend.json: Biometric authentication performance requirements. (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,IA-5(2),2,Certificate-based Authentication,Certificate-based Authentication,technique,medium,technique entry 'Certificate-based Authentication' in nist80053_d3fend.json: PKI-based authenticators and PKI certificate policy. (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,SC-17,2,Certificate-based Authentication,Certificate-based Authentication,technique,medium,technique entry 'Certificate-based Authentication' in nist80053_d3fend.json: PKI-based authenticators and PKI certificate policy. (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,CP-2,2,Access Modeling,Operational Activity Mapping,family,low,family entry 'Operational Activity Mapping' in nist80053_d3fend.json: Risk assessment and contingency planning (mission/business dependencies). (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,RA-3,2,Access Modeling,Operational Activity Mapping,family,low,family entry 'Operational Activity Mapping' in nist80053_d3fend.json: Risk assessment and contingency planning (mission/business dependencies). (D3FEND countermeasure was medium-confidence),Operator insider gains access to ground station to fly AV to adversary selected location; Adversary supply chain attack on logistics system provides logical access to fly UAS to adversary selected location
RS-2,IA-2(1),1,Multi-factor Authentication,Multi-factor Authentication,technique,medium,technique entry 'Multi-factor Authentication' in nist80053_d3fend.json: MFA for privileged / non-privileged accounts and separate-device authenticators. (D3FEND countermeasure was medium-confidence),Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,IA-2(2),1,Multi-factor Authentication,Multi-factor Authentication,technique,medium,technique entry 'Multi-factor Authentication' in nist80053_d3fend.json: MFA for privileged / non-privileged accounts and separate-device authenticators. (D3FEND countermeasure was medium-confidence),Adversary gets insider to give them the command link key to fly AV to adversary selected location
RS-2,IA-2(6),1,Multi-factor Authentication,Multi-factor Authentication,technique,medium,technique entry 'Multi-factor Authentication' in nist80053_d3fend.json: MFA for privileged / non-privileged accounts and separate-device authenticators. (D3FEND countermeasure was medium-confidence),Adversary gets insider to give them the command link key to fly AV to adversary selected location
