run,condition,slant_range_m,resolved_cycles,p_identify,identified,time_to_identify_s,cyber_branch,spoof_detected
76,night / haze,737.2,9.29,0.8,True,3.9,False,
77,night / haze,794.8,10.72,0.881,True,3.3,False,
78,night / haze,893.6,7.33,0.617,True,6.4,False,
79,night / haze,1018.7,8.54,0.741,True,3.3,False,
80,night / haze,1212.8,6.08,0.457,True,4.8,True,True
81,day / clear,406.1,22.85,0.999,True,4.2,False,
82,day / clear,503.0,23.17,0.999,True,4.0,False,
83,day / clear,607.0,16.67,0.987,True,10.4,True,False
84,day / clear,644.1,11.87,0.922,True,3.9,False,
85,day / clear,690.4,12.98,0.949,True,3.7,True,False
86,day / clear,743.8,15.92,0.983,True,3.1,True,True
87,day / clear,824.0,10.81,0.884,True,11.6,False,
88,day / clear,881.8,10.18,0.855,True,6.3,False,
89,day / clear,993.9,8.89,0.77,True,5.2,False,
90,day / clear,1197.7,5.99,0.445,True,8.4,False,
91,day / haze,394.3,22.33,0.998,True,4.0,False,
92,day / haze,513.1,16.49,0.986,True,3.3,False,
93,day / haze,607.5,14.54,0.971,True,6.0,False,
94,day / haze,639.4,14.0,0.965,True,3.8,True,True
95,day / haze,706.1,11.89,0.923,True,7.9,True,True
96,day / haze,750.1,12.51,0.939,True,6.9,False,
97,day / haze,812.0,10.45,0.868,False,,False,
98,day / haze,919.8,7.47,0.633,True,4.7,False,
99,day / haze,988.2,6.91,0.566,False,,False,
100,day / haze,1201.2,6.33,0.49,False,,True,True
101,night / clear,402.9,27.2,1.0,True,3.5,False,
102,night / clear,487.8,15.99,0.983,True,2.4,False,
103,night / clear,593.5,15.47,0.98,True,2.3,False,
104,night / clear,660.2,12.31,0.934,True,5.3,True,True
105,night / clear,694.3,11.51,0.911,True,3.8,False,
106,night / clear,756.9,13.72,0.961,True,4.3,False,
107,night / clear,791.6,13.15,0.952,True,2.1,False,
108,night / clear,913.4,9.27,0.798,True,3.9,False,
109,night / clear,1006.4,8.56,0.742,True,3.6,False,
110,night / clear,1214.5,6.48,0.51,False,,False,
111,night / haze,396.3,20.13,0.996,True,4.7,False,
112,night / haze,496.4,16.02,0.983,True,3.3,False,
113,night / haze,622.1,14.53,0.971,True,2.6,False,
114,night / haze,646.5,11.82,0.92,True,1.7,True,True
115,night / haze,702.4,10.58,0.874,True,10.6,True,True
116,night / haze,774.9,10.61,0.875,True,4.2,False,
117,night / haze,793.1,9.02,0.78,True,4.6,True,True
118,night / haze,914.7,7.68,0.656,False,,True,True
119,night / haze,970.3,8.08,0.698,False,,False,
120,night / haze,1199.9,6.99,0.575,True,9.0,False,
121,day / clear,398.4,19.65,0.996,True,4.4,False,
122,day / clear,486.5,22.14,0.998,True,1.9,True,True
123,day / clear,614.9,15.75,0.982,True,4.1,False,
124,day / clear,651.2,16.05,0.984,True,6.2,False,
125,day / clear,696.9,12.95,0.948,True,3.2,False,
126,day / clear,749.4,11.77,0.919,True,3.7,False,
127,day / clear,790.6,11.43,0.908,True,2.0,False,
128,day / clear,905.6,10.38,0.865,True,4.2,True,False
129,day / clear,976.0,8.61,0.746,True,8.2,False,
130,day / clear,1205.0,6.17,0.469,True,8.4,True,True
131,day / haze,405.1,22.07,0.998,True,4.8,True,True
132,day / haze,491.6,19.72,0.996,True,3.5,False,
133,day / haze,595.9,14.09,0.966,True,3.7,False,
134,day / haze,656.0,13.36,0.955,True,4.0,False,
135,day / haze,709.9,11.65,0.915,True,3.9,False,
136,day / haze,761.4,11.12,0.897,True,5.5,True,False
137,day / haze,780.3,11.84,0.921,True,6.9,True,True
138,day / haze,883.7,9.17,0.791,False,,True,True
139,day / haze,990.2,9.34,0.803,True,3.9,False,
140,day / haze,1210.8,7.54,0.641,False,,False,
141,night / clear,402.0,22.91,0.999,True,7.0,True,False
142,night / clear,480.2,21.0,0.997,True,5.1,False,
143,night / clear,602.1,16.09,0.984,True,5.2,True,True
144,night / clear,638.3,13.58,0.959,True,2.4,False,
145,night / clear,714.9,12.67,0.942,True,2.5,False,
146,night / clear,742.8,11.1,0.896,True,5.0,False,
147,night / clear,787.8,11.53,0.911,True,5.2,True,True
148,night / clear,902.5,8.71,0.755,True,5.4,True,True
149,night / clear,1010.9,9.2,0.793,True,7.4,True,True
150,night / clear,1178.8,8.82,0.764,True,11.5,True,False
151,night / haze,370.0,20.64,0.997,True,2.8,True,False
152,night / haze,496.5,18.21,0.993,True,4.1,True,True
153,night / haze,589.5,12.75,0.944,True,3.5,False,
154,night / haze,639.1,9.74,0.829,True,6.1,False,
155,night / haze,692.6,10.14,0.852,False,,False,
156,night / haze,728.2,9.37,0.805,True,3.8,False,
157,night / haze,815.7,9.17,0.791,True,7.0,True,True
158,night / haze,921.2,8.65,0.75,True,6.4,False,
159,night / haze,1003.1,7.52,0.638,True,7.0,False,
160,night / haze,1205.1,6.06,0.454,True,8.0,True,True
161,day / clear,408.9,24.44,0.999,True,4.5,True,True
162,day / clear,493.6,19.26,0.995,True,3.4,True,True
163,day / clear,614.5,13.52,0.958,True,5.2,False,
164,day / clear,642.1,13.47,0.957,True,5.1,False,
165,day / clear,714.2,13.65,0.96,True,3.6,False,
166,day / clear,765.1,12.44,0.937,False,,True,True
167,day / clear,788.9,11.09,0.896,True,5.8,False,
168,day / clear,898.8,10.81,0.884,False,,False,
169,day / clear,999.7,9.33,0.802,False,,False,
170,day / clear,1180.7,8.27,0.716,True,4.7,True,True
171,day / haze,389.8,25.11,0.999,True,8.2,False,
172,day / haze,487.9,16.78,0.988,True,4.2,False,
173,day / haze,608.2,13.74,0.961,True,2.3,False,
174,day / haze,649.7,11.95,0.924,True,3.9,False,
175,day / haze,687.4,11.03,0.893,True,8.0,False,
176,day / haze,742.3,9.48,0.813,True,7.0,False,
177,day / haze,804.0,12.09,0.928,True,6.6,True,True
178,day / haze,917.8,9.62,0.822,True,7.9,True,True
179,day / haze,985.5,9.9,0.839,True,4.1,True,False
180,day / haze,1206.5,6.17,0.469,False,,False,
181,night / clear,398.7,22.99,0.999,True,4.9,False,
182,night / clear,497.8,17.78,0.991,True,2.6,False,
183,night / clear,586.7,18.86,0.994,True,7.0,True,True
184,night / clear,631.0,14.86,0.974,True,5.4,True,False
185,night / clear,718.7,13.48,0.957,True,4.2,True,True
186,night / clear,737.0,13.88,0.963,True,6.1,True,True
187,night / clear,794.2,11.04,0.894,True,8.1,False,
188,night / clear,892.5,10.64,0.877,True,3.7,False,
189,night / clear,988.3,8.86,0.768,False,,True,True
190,night / clear,1180.3,7.19,0.6,False,,False,
191,night / haze,393.8,20.59,0.997,True,7.4,False,
192,night / haze,506.2,16.36,0.985,True,4.3,False,
193,night / haze,606.6,11.84,0.921,True,3.0,False,
194,night / haze,653.9,12.1,0.928,True,3.6,True,True
195,night / haze,712.1,13.63,0.96,True,2.9,False,
196,night / haze,755.4,8.54,0.74,True,3.4,True,True
197,night / haze,797.6,9.62,0.822,True,9.0,False,
198,night / haze,891.0,7.79,0.668,True,6.7,False,
199,night / haze,1010.7,7.04,0.582,True,8.4,True,True
200,night / haze,1215.1,5.52,0.38,False,,False,
201,day / clear,392.6,21.09,0.997,True,3.0,True,True
202,day / clear,503.8,16.03,0.983,True,3.2,False,
203,day / clear,591.1,14.85,0.974,True,6.3,False,
204,day / clear,617.5,15.53,0.98,True,4.2,False,
205,day / clear,713.5,12.64,0.942,True,4.8,False,
206,day / clear,732.9,12.72,0.943,True,4.4,False,
207,day / clear,804.5,13.57,0.959,True,5.1,False,
208,day / clear,897.5,10.79,0.884,True,4.4,False,
209,day / clear,983.7,10.32,0.862,True,4.0,False,
210,day / clear,1213.7,7.42,0.627,True,8.4,True,True
211,day / haze,403.6,17.56,0.991,True,3.9,True,False
212,day / haze,489.7,19.41,0.995,True,5.8,False,
213,day / haze,594.1,14.06,0.966,True,2.3,False,
214,day / haze,643.5,13.91,0.964,True,5.1,True,True
215,day / haze,687.4,12.51,0.939,True,5.1,False,
216,day / haze,752.5,10.97,0.891,True,5.0,True,False
217,day / haze,794.9,10.02,0.846,True,3.7,False,
218,day / haze,896.1,9.93,0.84,False,,False,
219,day / haze,1012.5,10.06,0.848,True,8.2,False,
220,day / haze,1205.4,5.85,0.425,True,9.5,False,
221,night / clear,377.0,25.14,0.999,True,3.3,True,True
222,night / clear,512.6,17.81,0.991,True,4.0,False,
223,night / clear,600.9,14.46,0.97,True,4.0,False,
224,night / clear,656.3,12.31,0.934,True,5.5,True,True
225,night / clear,688.6,10.31,0.861,True,8.7,False,
226,night / clear,752.5,11.47,0.909,True,5.1,False,
227,night / clear,790.9,12.06,0.927,True,5.4,False,
228,night / clear,886.5,10.5,0.87,True,2.3,False,
229,night / clear,990.4,8.83,0.765,True,7.0,False,
230,night / clear,1195.1,8.32,0.721,True,5.8,False,
231,night / haze,407.8,18.54,0.993,True,4.9,False,
232,night / haze,513.9,13.63,0.96,True,5.5,False,
233,night / haze,596.5,11.87,0.922,True,4.0,True,True
234,night / haze,670.2,11.71,0.917,True,5.2,False,
235,night / haze,703.5,9.46,0.811,True,4.2,False,
236,night / haze,734.4,10.91,0.889,False,,True,True
237,night / haze,805.9,9.47,0.812,True,8.9,False,
238,night / haze,911.8,8.34,0.723,True,5.5,True,True
239,night / haze,1001.6,7.96,0.685,True,7.0,False,
240,night / haze,1201.5,6.47,0.509,False,,False,
